bein1hd.jsc,Bein 1 AR,rtmp://www1.iguide.to:1935/iguide
bein2hd.jsc,Bein 2 AR,rtmp://www1.iguide.to:1935/iguide
bein3hd.jsc,Bein 3 AR,rtmp://www1.iguide.to:1935/iguide
bein4hd.jsc,Bein 4 AR,rtmp://www1.iguide.to:1935/iguide
bein5hd.jsc,Bein 5 AR,rtmp://www1.iguide.to:1935/iguide
bein6hd.jsc,Bein 6 AR,rtmp://www1.iguide.to:1935/iguide
bein7hd.jsc,Bein 7 AR,rtmp://www1.iguide.to:1935/iguide
bein8hd.jsc,Bein 8 AR,rtmp://www1.iguide.to:1935/iguide
bein11hd.jsc,Bein 11 AR,rtmp://www1.iguide.to:1935/iguide
bein12hd.jsc,Bein 12 AR,rtmp://www1.iguide.to:1935/iguide
DubaiTelevision.mea,Dubai TV,http://dmi.mangomolo.com:1935/dubaitv/smil:dubaitv.smil/playlist.m3u8
DubaiOne.net,Dubai ONE,http://dmi.mangomolo.com:1935/dubaione/smil:dubaione.smil/playlist.m3u8
NoorDubai.mea,Noor DubaiTV,http://dmi.mangomolo.com:1935/noordubaitv/smil:noordubaitv.smil/playlist.m3u8
SamaDubai.mea,Sama Dubai,http://dmi.mangomolo.com:1935/samadubai/smil:samadubai.smil/playlist.m3u8
DubaiRacing.mea,Dubai Racing,http://dmi.mangomolo.com:1935/dubairacing/smil:dubairacing.smil/playlist.m3u8
Dubai Sports 1,Dubai Sports,http://dmi.mangomolo.com:1935/dubaisports/smil:dubaisports.smil/playlist.m3u8
ext,Kuwait Tv,rtmp://91.140.238.7:1935/rtmplive/rtpencoder/ch1.sdp
ext,Kuwait Tv 2,rtmp://91.140.238.7:1935/rtmplive/rtpencoder/ch2.sdp
MBC1.net,MBC 1,http://bit.ly/1OBdWvq
MBC2.net,MBC 2,http://63.237.48.23/ios/MBC2/MBC2.m3u8
MBC3.net,MBC 3,http://bit.ly/1RhvPgt
MBC3.net,MBC 3 - Link 2,http://50.7.69.138:9080/hls/mbc3.m3u8
MBC3.net,MBC 3 - Link 3,http://38.99.146.38:7777/MBC3_HD.m3u8?user=1441975005&session=e4724ee6a2741a3a32cf62bb836be4fee3e95ec1692f3cd5f86a8bd3cdd8c76c&v=520489549
MBC4.net,MBC 4 - Link 1,http://63.237.48.23/ios/MBC_4/MBC_4.m3u8
MBC4.net,MBC 4 - Link 2,http://50.7.69.138:9080/hls/mbc4.m3u8
MBCMax.net,MBC MAX,http://63.237.48.23/ios/MBC_MAX/MBC_MAX.m3u8
MBCAction.net,MBC Action HD,http://63.237.48.23/ios/MBC_ACTION/MBC_ACTION.m3u8
MBCDrama.net,MBC DRAMA Link 1,http://bit.ly/1OBheiu
MBCDrama.net,mbc drama Link 2,http://216.66.42.85:7777/MBCDrama_HD.m3u8
MBCDrama.net,MBC DRAMA Link 3,http://50.7.69.138:9080/hls/mbc-drama.m3u8
MBCBollywood.net,MBC Bollywood,http://63.237.48.23/ios/MBC_BOLLYWOOD/MBC_BOLLYWOOD.m3u8
ArtAflam.mea,ART AFLAM 1,http://50.7.69.138:9080/hls/mal-art-aflam1.m3u8
